mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,basic,25,Glucose,0.1,DiabetesPedigreeFunction,0.7142857142857143
MAR,double_threshold,25,Glucose,0.1,"['DiabetesPedigreeFunction', 'BloodPressure']",0.7272727272727273
MAR,range_condition,25,Glucose,0.1,DiabetesPedigreeFunction,0.5769230769230769
MAR,nonlinear,25,Glucose,0.1,DiabetesPedigreeFunction,0.7727272727272727
MCAR,none,25,Glucose,0.1,,0.5
MAR,basic,25,Glucose,0.2,DiabetesPedigreeFunction,0.7777777777777778
MAR,double_threshold,25,Glucose,0.2,"['DiabetesPedigreeFunction', 'BloodPressure']",0.7560975609756098
MAR,range_condition,25,Glucose,0.2,DiabetesPedigreeFunction,0.673469387755102
MAR,nonlinear,25,Glucose,0.2,DiabetesPedigreeFunction,0.7560975609756098
MCAR,none,25,Glucose,0.2,,0.5591397849462365
MAR,basic,25,Glucose,0.30000000000000004,DiabetesPedigreeFunction,0.6533333333333333
MAR,double_threshold,25,Glucose,0.30000000000000004,"['DiabetesPedigreeFunction', 'BloodPressure']",0.625
MAR,range_condition,25,Glucose,0.30000000000000004,DiabetesPedigreeFunction,0.6764705882352942
MAR,nonlinear,25,Glucose,0.30000000000000004,DiabetesPedigreeFunction,0.8392857142857143
MCAR,none,25,Glucose,0.30000000000000004,,0.43410852713178294
MAR,basic,25,Glucose,0.4,DiabetesPedigreeFunction,0.7244897959183674
MAR,double_threshold,25,Glucose,0.4,"['DiabetesPedigreeFunction', 'BloodPressure']",0.8
MAR,range_condition,25,Glucose,0.4,DiabetesPedigreeFunction,0.7333333333333333
MAR,nonlinear,25,Glucose,0.4,DiabetesPedigreeFunction,0.7866666666666666
MCAR,none,25,Glucose,0.4,,0.4797687861271676
MAR,basic,25,Glucose,0.5,DiabetesPedigreeFunction,0.8181818181818182
MAR,double_threshold,25,Glucose,0.5,"['DiabetesPedigreeFunction', 'BloodPressure']",0.8529411764705882
MAR,range_condition,25,Glucose,0.5,DiabetesPedigreeFunction,0.7622950819672131
MAR,nonlinear,25,Glucose,0.5,DiabetesPedigreeFunction,0.8235294117647058
MCAR,none,25,Glucose,0.5,,0.508695652173913
MAR,basic,25,Glucose,0.6000000000000001,DiabetesPedigreeFunction,0.8242424242424242
MAR,double_threshold,25,Glucose,0.6000000000000001,"['DiabetesPedigreeFunction', 'BloodPressure']",0.888
MAR,range_condition,25,Glucose,0.6000000000000001,DiabetesPedigreeFunction,0.8552631578947368
MAR,nonlinear,25,Glucose,0.6000000000000001,DiabetesPedigreeFunction,0.872
MCAR,none,25,Glucose,0.6000000000000001,,0.5056179775280899
MAR,basic,25,Glucose,0.7000000000000001,DiabetesPedigreeFunction,0.8776595744680851
MAR,double_threshold,25,Glucose,0.7000000000000001,"['DiabetesPedigreeFunction', 'BloodPressure']",0.8936170212765957
MAR,range_condition,25,Glucose,0.7000000000000001,DiabetesPedigreeFunction,0.8670520231213873
MAR,nonlinear,25,Glucose,0.7000000000000001,DiabetesPedigreeFunction,0.9148936170212766
MCAR,none,25,Glucose,0.7000000000000001,,0.42857142857142855
MAR,basic,25,Glucose,0.8,DiabetesPedigreeFunction,0.9014084507042254
MAR,double_threshold,25,Glucose,0.8,"['DiabetesPedigreeFunction', 'BloodPressure']",0.9813664596273292
MAR,range_condition,25,Glucose,0.8,DiabetesPedigreeFunction,0.8871794871794871
MAR,nonlinear,25,Glucose,0.8,DiabetesPedigreeFunction,0.9813664596273292
MCAR,none,25,Glucose,0.8,,0.4895833333333333
MAR,basic,25,Glucose,0.9,DiabetesPedigreeFunction,0.9427312775330396
MAR,double_threshold,25,Glucose,0.9,"['DiabetesPedigreeFunction', 'BloodPressure']",0.9943502824858758
MAR,range_condition,25,Glucose,0.9,DiabetesPedigreeFunction,0.9537037037037037
MAR,nonlinear,25,Glucose,0.9,DiabetesPedigreeFunction,0.9491525423728814
MCAR,none,25,Glucose,0.9,,0.5333333333333333
MAR,basic,945,Pregnancies,0.1,BMI,0.7407407407407407
MAR,double_threshold,945,Pregnancies,0.1,"['BMI', 'Glucose']",0.7777777777777778
MAR,range_condition,945,Pregnancies,0.1,BMI,0.8260869565217391
MAR,nonlinear,945,Pregnancies,0.1,BMI,0.5
MCAR,none,945,Pregnancies,0.1,,0.45454545454545453
MAR,basic,945,Pregnancies,0.2,BMI,0.62
MAR,double_threshold,945,Pregnancies,0.2,"['BMI', 'Glucose']",0.8888888888888888
MAR,range_condition,945,Pregnancies,0.2,BMI,0.6666666666666666
MAR,nonlinear,945,Pregnancies,0.2,BMI,0.5283018867924528
MCAR,none,945,Pregnancies,0.2,,0.4897959183673469
MAR,basic,945,Pregnancies,0.30000000000000004,BMI,0.7746478873239436
MAR,double_threshold,945,Pregnancies,0.30000000000000004,"['BMI', 'Glucose']",0.9459459459459459
MAR,range_condition,945,Pregnancies,0.30000000000000004,BMI,0.7796610169491526
MAR,nonlinear,945,Pregnancies,0.30000000000000004,BMI,0.5733333333333334
MCAR,none,945,Pregnancies,0.30000000000000004,,0.5071428571428571
MAR,basic,945,Pregnancies,0.4,BMI,0.7821782178217822
MAR,double_threshold,945,Pregnancies,0.4,"['BMI', 'Glucose']",0.8928571428571429
MAR,range_condition,945,Pregnancies,0.4,BMI,0.8045977011494253
MAR,nonlinear,945,Pregnancies,0.4,BMI,0.5943396226415094
MCAR,none,945,Pregnancies,0.4,,0.4322916666666667
MAR,basic,945,Pregnancies,0.5,BMI,0.8083333333333333
MAR,double_threshold,945,Pregnancies,0.5,"['BMI', 'Glucose']",0.9014084507042254
MAR,range_condition,945,Pregnancies,0.5,BMI,0.8113207547169812
MAR,nonlinear,945,Pregnancies,0.5,BMI,0.626984126984127
MCAR,none,945,Pregnancies,0.5,,0.44298245614035087
MAR,basic,945,Pregnancies,0.6000000000000001,BMI,0.7808219178082192
MAR,double_threshold,945,Pregnancies,0.6000000000000001,"['BMI', 'Glucose']",0.9404761904761905
MAR,range_condition,945,Pregnancies,0.6000000000000001,BMI,0.8372093023255814
MAR,nonlinear,945,Pregnancies,0.6000000000000001,BMI,0.6470588235294118
MCAR,none,945,Pregnancies,0.6000000000000001,,0.47752808988764045
MAR,basic,945,Pregnancies,0.7000000000000001,BMI,0.8303030303030303
MAR,double_threshold,945,Pregnancies,0.7000000000000001,"['BMI', 'Glucose']",0.9574468085106383
MAR,range_condition,945,Pregnancies,0.7000000000000001,BMI,0.8698630136986302
MAR,nonlinear,945,Pregnancies,0.7000000000000001,BMI,0.7283236994219653
MCAR,none,945,Pregnancies,0.7000000000000001,,0.5259259259259259
MAR,basic,945,Pregnancies,0.8,BMI,0.8783068783068783
MAR,double_threshold,945,Pregnancies,0.8,"['BMI', 'Glucose']",0.9906542056074766
MAR,range_condition,945,Pregnancies,0.8,BMI,0.9161676646706587
MAR,nonlinear,945,Pregnancies,0.8,BMI,0.7929292929292929
MCAR,none,945,Pregnancies,0.8,,0.4157303370786517
MAR,basic,945,Pregnancies,0.9,BMI,0.9583333333333334
MAR,double_threshold,945,Pregnancies,0.9,"['BMI', 'Glucose']",0.9663865546218487
MAR,range_condition,945,Pregnancies,0.9,BMI,0.9576719576719577
MAR,nonlinear,945,Pregnancies,0.9,BMI,0.8634361233480177
MCAR,none,945,Pregnancies,0.9,,0.4791666666666667
MAR,basic,217,Glucose,0.1,BMI,0.875
MAR,double_threshold,217,Glucose,0.1,"['BMI', 'Pregnancies']",0.6111111111111112
MAR,range_condition,217,Glucose,0.1,BMI,0.625
MAR,nonlinear,217,Glucose,0.1,BMI,0.3333333333333333
MCAR,none,217,Glucose,0.1,,0.36363636363636365
MAR,basic,217,Glucose,0.2,BMI,0.7391304347826086
MAR,double_threshold,217,Glucose,0.2,"['BMI', 'Pregnancies']",0.75
MAR,range_condition,217,Glucose,0.2,BMI,0.7391304347826086
MAR,nonlinear,217,Glucose,0.2,BMI,0.4
MCAR,none,217,Glucose,0.2,,0.43010752688172044
MAR,basic,217,Glucose,0.30000000000000004,BMI,0.9230769230769231
MAR,double_threshold,217,Glucose,0.30000000000000004,"['BMI', 'Pregnancies']",0.7246376811594203
MAR,range_condition,217,Glucose,0.30000000000000004,BMI,0.8717948717948718
MAR,nonlinear,217,Glucose,0.30000000000000004,BMI,0.4117647058823529
