mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,basic,66,LowQualFinSF,0.1,BsmtFinSF2,0.8666666666666667
MAR,double_threshold,66,LowQualFinSF,0.1,"['BsmtFinSF2', 'WoodDeckSF']",0.7708333333333334
MAR,range_condition,66,LowQualFinSF,0.1,BsmtFinSF2,0.5185185185185185
MAR,nonlinear,66,LowQualFinSF,0.1,BsmtFinSF2,0.48314606741573035
MCAR,none,66,LowQualFinSF,0.1,,0.42391304347826086
MAR,basic,66,LowQualFinSF,0.2,BsmtFinSF2,0.8695652173913043
MAR,double_threshold,66,LowQualFinSF,0.2,"['BsmtFinSF2', 'WoodDeckSF']",0.6785714285714286
MAR,range_condition,66,LowQualFinSF,0.2,BsmtFinSF2,0.4429530201342282
MAR,nonlinear,66,LowQualFinSF,0.2,BsmtFinSF2,0.503030303030303
MCAR,none,66,LowQualFinSF,0.2,,0.46153846153846156
MAR,basic,66,LowQualFinSF,0.30000000000000004,BsmtFinSF2,0.8857142857142857
MAR,double_threshold,66,LowQualFinSF,0.30000000000000004,"['BsmtFinSF2', 'WoodDeckSF']",0.7131782945736435
MAR,range_condition,66,LowQualFinSF,0.30000000000000004,BsmtFinSF2,0.5065502183406113
MAR,nonlinear,66,LowQualFinSF,0.30000000000000004,BsmtFinSF2,0.5158730158730159
MCAR,none,66,LowQualFinSF,0.30000000000000004,,0.49224806201550386
MAR,basic,66,LowQualFinSF,0.4,BsmtFinSF2,0.8636363636363636
MAR,double_threshold,66,LowQualFinSF,0.4,"['BsmtFinSF2', 'WoodDeckSF']",0.7732558139534884
MAR,range_condition,66,LowQualFinSF,0.4,BsmtFinSF2,0.5566666666666666
MAR,nonlinear,66,LowQualFinSF,0.4,BsmtFinSF2,0.5090361445783133
MCAR,none,66,LowQualFinSF,0.4,,0.45614035087719296
MAR,basic,66,LowQualFinSF,0.5,BsmtFinSF2,0.9615384615384616
MAR,double_threshold,66,LowQualFinSF,0.5,"['BsmtFinSF2', 'WoodDeckSF']",0.8165137614678899
MAR,range_condition,66,LowQualFinSF,0.5,BsmtFinSF2,0.5833333333333334
MAR,nonlinear,66,LowQualFinSF,0.5,BsmtFinSF2,0.5292682926829269
MCAR,none,66,LowQualFinSF,0.5,,0.4634760705289673
MAR,basic,66,LowQualFinSF,0.6000000000000001,BsmtFinSF2,0.9523809523809523
MAR,double_threshold,66,LowQualFinSF,0.6000000000000001,"['BsmtFinSF2', 'WoodDeckSF']",0.8461538461538461
MAR,range_condition,66,LowQualFinSF,0.6000000000000001,BsmtFinSF2,0.5631578947368421
MAR,nonlinear,66,LowQualFinSF,0.6000000000000001,BsmtFinSF2,0.5135135135135135
MCAR,none,66,LowQualFinSF,0.6000000000000001,,0.49843260188087773
MAR,basic,66,LowQualFinSF,0.7000000000000001,BsmtFinSF2,0.9863013698630136
MAR,double_threshold,66,LowQualFinSF,0.7000000000000001,"['BsmtFinSF2', 'WoodDeckSF']",0.8394648829431438
MAR,range_condition,66,LowQualFinSF,0.7000000000000001,BsmtFinSF2,0.5475409836065573
MAR,nonlinear,66,LowQualFinSF,0.7000000000000001,BsmtFinSF2,0.47410358565737054
MCAR,none,66,LowQualFinSF,0.7000000000000001,,0.4767932489451477
MAR,basic,66,LowQualFinSF,0.8,BsmtFinSF2,0.9876543209876543
MAR,double_threshold,66,LowQualFinSF,0.8,"['BsmtFinSF2', 'WoodDeckSF']",0.9181286549707602
MAR,range_condition,66,LowQualFinSF,0.8,BsmtFinSF2,0.6137339055793991
MAR,nonlinear,66,LowQualFinSF,0.8,BsmtFinSF2,0.4797687861271676
MCAR,none,66,LowQualFinSF,0.8,,0.5031847133757962
MAR,basic,66,LowQualFinSF,0.9,BsmtFinSF2,1.0
