mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,basic,576,alcohol,0.1,residual_sugar,0.8216704288939052
MAR,double_threshold,576,alcohol,0.1,"['residual_sugar', 'chlorides']",0.9106382978723404
MAR,range_condition,576,alcohol,0.1,residual_sugar,0.7725225225225225
MAR,nonlinear,576,alcohol,0.1,residual_sugar,0.6646341463414634
MCAR,none,576,alcohol,0.1,,0.49874476987447697
MAR,basic,576,alcohol,0.2,residual_sugar,0.8335220838052095
MAR,double_threshold,576,alcohol,0.2,"['residual_sugar', 'chlorides']",0.907563025210084
MAR,range_condition,576,alcohol,0.2,residual_sugar,0.8395480225988701
MAR,nonlinear,576,alcohol,0.2,residual_sugar,0.7269035532994924
MCAR,none,576,alcohol,0.2,,0.511879949979158
MAR,basic,576,alcohol,0.30000000000000004,residual_sugar,0.84
MAR,double_threshold,576,alcohol,0.30000000000000004,"['residual_sugar', 'chlorides']",0.9015471167369902
MAR,range_condition,576,alcohol,0.30000000000000004,residual_sugar,0.8369646882043577
MAR,nonlinear,576,alcohol,0.30000000000000004,residual_sugar,0.7809973045822103
MCAR,none,576,alcohol,0.30000000000000004,,0.5148107515085024
MAR,basic,576,alcohol,0.4,residual_sugar,0.8437146092865232
MAR,double_threshold,576,alcohol,0.4,"['residual_sugar', 'chlorides']",0.9414225941422594
MAR,range_condition,576,alcohol,0.4,residual_sugar,0.8363329583802025
MAR,nonlinear,576,alcohol,0.4,residual_sugar,0.7734414597060314
MCAR,none,576,alcohol,0.4,,0.507459636215001
MAR,basic,576,alcohol,0.5,residual_sugar,0.8511586452762924
MAR,double_threshold,576,alcohol,0.5,"['residual_sugar', 'chlorides']",0.9294605809128631
MAR,range_condition,576,alcohol,0.5,residual_sugar,0.8685258964143426
MAR,nonlinear,576,alcohol,0.5,residual_sugar,0.8152
MCAR,none,576,alcohol,0.5,,0.4924696356275304
MAR,basic,576,alcohol,0.6000000000000001,residual_sugar,0.890481440646821
MAR,double_threshold,576,alcohol,0.6000000000000001,"['residual_sugar', 'chlorides']",0.942347288949897
MAR,range_condition,576,alcohol,0.6000000000000001,residual_sugar,0.8817086527929902
MAR,nonlinear,576,alcohol,0.6000000000000001,residual_sugar,0.8421226104152933
MCAR,none,576,alcohol,0.6000000000000001,,0.49318801089918257
MAR,basic,576,alcohol,0.7000000000000001,residual_sugar,0.9064951364919988
MAR,double_threshold,576,alcohol,0.7000000000000001,"['residual_sugar', 'chlorides']",0.958600583090379
MAR,range_condition,576,alcohol,0.7000000000000001,residual_sugar,0.915861639139919
MAR,nonlinear,576,alcohol,0.7000000000000001,residual_sugar,0.8681843732433951
MCAR,none,576,alcohol,0.7000000000000001,,0.49525275853220424
MAR,basic,576,alcohol,0.8,residual_sugar,0.9414513468938978
MAR,double_threshold,576,alcohol,0.8,"['residual_sugar', 'chlorides']",0.9718237704918032
MAR,range_condition,576,alcohol,0.8,residual_sugar,0.9365946980049193
MAR,nonlinear,576,alcohol,0.8,residual_sugar,0.9056185312962051
MCAR,none,576,alcohol,0.8,,0.5060975609756098
MAR,basic,576,alcohol,0.9,residual_sugar,0.9707729468599033
MAR,double_threshold,576,alcohol,0.9,"['residual_sugar', 'chlorides']",0.989237668161435
MAR,range_condition,576,alcohol,0.9,residual_sugar,0.968059558117195
MAR,nonlinear,576,alcohol,0.9,residual_sugar,0.9439982635120469
MCAR,none,576,alcohol,0.9,,0.5160532498042286
MAR,basic,791,chlorides,0.1,pH,0.7773512476007678
MAR,double_threshold,791,chlorides,0.1,"['pH', 'sulphates']",0.8609756097560975
MAR,range_condition,791,chlorides,0.1,pH,0.7947761194029851
MAR,nonlinear,791,chlorides,0.1,pH,0.7773851590106007
MCAR,none,791,chlorides,0.1,,0.496875
MAR,basic,791,chlorides,0.2,pH,0.8205128205128205
MAR,double_threshold,791,chlorides,0.2,"['pH', 'sulphates']",0.8540609137055838
MAR,range_condition,791,chlorides,0.2,pH,0.8173076923076923
MAR,nonlinear,791,chlorides,0.2,pH,0.8077617328519856
MCAR,none,791,chlorides,0.2,,0.49386138613861386
MAR,basic,791,chlorides,0.30000000000000004,pH,0.8214756258234519
MAR,double_threshold,791,chlorides,0.30000000000000004,"['pH', 'sulphates']",0.8668913226621735
MAR,range_condition,791,chlorides,0.30000000000000004,pH,0.8303341902313625
MAR,nonlinear,791,chlorides,0.30000000000000004,pH,0.8160919540229885
MCAR,none,791,chlorides,0.30000000000000004,,0.5169312169312169
MAR,basic,791,chlorides,0.4,pH,0.8470993117010817
MAR,double_threshold,791,chlorides,0.4,"['pH', 'sulphates']",0.8737562189054726
MAR,range_condition,791,chlorides,0.4,pH,0.8418782942022042
MAR,nonlinear,791,chlorides,0.4,pH,0.8172382671480144
MCAR,none,791,chlorides,0.4,,0.4997048986818808
MAR,basic,791,chlorides,0.5,pH,0.8590604026845637
MAR,double_threshold,791,chlorides,0.5,"['pH', 'sulphates']",0.9024512256128064
MAR,range_condition,791,chlorides,0.5,pH,0.8452932098765432
MAR,nonlinear,791,chlorides,0.5,pH,0.8370827285921626
MCAR,none,791,chlorides,0.5,,0.50943094629156
MAR,basic,791,chlorides,0.6000000000000001,pH,0.8846662260409782
MAR,double_threshold,791,chlorides,0.6000000000000001,"['pH', 'sulphates']",0.9085953878406708
MAR,range_condition,791,chlorides,0.6000000000000001,pH,0.8728211749515816
MAR,nonlinear,791,chlorides,0.6000000000000001,pH,0.8657351154313487
MCAR,none,791,chlorides,0.6000000000000001,,0.5094715852442672
MAR,basic,791,chlorides,0.7000000000000001,pH,0.9053321927573424
MAR,double_threshold,791,chlorides,0.7000000000000001,"['pH', 'sulphates']",0.9327062228654125
MAR,range_condition,791,chlorides,0.7000000000000001,pH,0.9061281337047353
MAR,nonlinear,791,chlorides,0.7000000000000001,pH,0.8961004972520282
MCAR,none,791,chlorides,0.7000000000000001,,0.4995990376904571
MAR,basic,791,chlorides,0.8,pH,0.9324799196787149
MAR,double_threshold,791,chlorides,0.8,"['pH', 'sulphates']",0.9546751188589541
MAR,range_condition,791,chlorides,0.8,pH,0.9379293424926398
MAR,nonlinear,791,chlorides,0.8,pH,0.9229707978845711
MCAR,none,791,chlorides,0.8,,0.5190993164455167
MAR,basic,791,chlorides,0.9,pH,0.9701994174322205
MAR,double_threshold,791,chlorides,0.9,"['pH', 'sulphates']",0.9754376058723885
MAR,range_condition,791,chlorides,0.9,pH,0.9616732369689006
MAR,nonlinear,791,chlorides,0.9,pH,0.9645055395978662
